Accessions,uterus,kidney,testis,pancreas,stomach,prostate,ovary,thyroid gland,adrenal gland,salivary gland,spleen,esophagus
ENSG00000000003,,,,,3.96179263,,,,,4.955556053,,
ENSG00000000419,4.998541992,5.277440725,5.629196144,4.19743696,5.516183776,5.326285285,5.59292961,4.594462735,5.007107454,5.607302122,4.706906578,5.206125287
ENSG00000000457,,,3.829495786,3.672486379,4.573515539,,,,3.485709812,4.897311037,,
ENSG00000000971,5.560327094,6.526124073,6.266719994,6.470742765,6.193659318,6.266918493,6.308313669,5.889261494,6.021130971,6.116197794,6.060915672,6.731697702
ENSG00000001036,5.22573132,3.987307316,5.679881708,,4.580056804,,,,5.304423094,4.020615912,5.189588996,
ENSG00000001084,5.228807753,5.29384178,5.005433473,5.42941696,6.098977668,5.588250033,5.105362123,5.03227732,5.213376855,5.630281744,6.045952055,6.005537077
ENSG00000001561,,,,,,,,,,4.325043326,4.554539303,
ENSG00000001630,4.529291719,4.065141911,5.845983622,,5.543361466,4.54492114,,,6.146805327,4.611011896,,
ENSG00000002330,4.241801762,4.705115612,4.863556768,,4.975771319,4.111464834,4.44714655,,4.807410836,5.217074842,,4.868838739
ENSG00000002549,5.829027379,6.758627828,6.423652076,6.215438089,6.542585472,5.982875926,6.586698325,5.571347886,6.297508437,6.447675591,7.162763243,6.535786717
ENSG00000002586,,,4.575138765,4.718939566,,6.360933883,6.484655564,,,5.161441101,5.606560226,6.056901612
ENSG00000002726,,6.589151072,,,5.679677847,,,,,,,
ENSG00000002822,,,4.539086573,,4.275314916,,4.440231107,3.658347089,4.190555908,4.444192366,4.062616372,
ENSG00000002834,5.744138298,6.077616568,6.588345038,6.183079407,6.688443376,6.431304744,6.773864309,6.119024857,6.370672339,6.494416021,6.683682892,6.170174465
ENSG00000003056,4.043470027,4.941701339,4.703585437,,5.205660209,4.51535536,5.377482002,3.612660033,,4.878527631,5.238645628,4.839113128
ENSG00000003400,,,,,4.36534289,,,,,,3.969799191,
ENSG00000003509,,,,,4.033964666,3.76468563,,,,4.733525895,,
ENSG00000004059,5.084395178,5.993870817,5.833524076,5.597694831,6.286453919,5.822341254,6.23782577,5.093504323,5.605368289,6.260356255,5.957976973,6.358564781
ENSG00000004455,5.945276255,7.101849188,6.183129561,6.537248094,6.583774672,6.012835986,6.435242558,5.739384451,6.608369088,6.801019627,6.397835618,6.393502478
ENSG00000004468,,,,,5.587159954,,4.661802065,,,4.416028627,4.656022457,
ENSG00000004478,5.278766998,6.01702926,5.594918673,5.526062414,6.659125239,5.881562822,6.710487893,5.733541361,5.806308594,6.36337726,5.823528369,6.685224941
ENSG00000004487,3.505962816,3.781731432,5.247988693,4.260043531,4.824980937,3.969568488,5.433010015,3.487891546,4.819305668,4.562055549,4.895124665,4.830741096
ENSG00000004700,5.030166959,4.636446722,5.865447291,5.044287039,5.675428985,5.237645463,5.392573845,5.050560531,5.341876935,5.447509342,5.95766234,5.562116056
ENSG00000004766,,3.756557161,3.948613466,,4.633021403,,,,3.611874508,4.768748702,3.906418011,3.316153351
ENSG00000004776,6.048709184,6.182144396,6.13291469,6.489836795,6.847893525,7.083033064,7.157389291,6.891736737,7.080077592,6.163764188,5.328740922,6.594617397
ENSG00000004779,,5.777219952,5.217002901,4.823821015,,5.607648102,5.907767697,,4.857256673,5.622234229,4.573904614,4.543649745
ENSG00000004799,,,,,3.977455169,,,,4.380337175,,,4.430698792
ENSG00000004864,,6.123642408,5.177295962,,5.428389508,,,,5.328285872,4.704509267,,4.293065092
ENSG00000004939,6.428373236,5.270342824,4.947856102,6.299133735,5.022001449,4.94890909,5.170017323,6.643435056,5.182470852,5.459380177,6.201701541,5.913873362
ENSG00000004961,,4.337862606,,,4.349934511,,,,3.472473264,4.659897099,,4.631116803
ENSG00000004975,,,,,,,,3.743114322,,,,3.763123612
ENSG00000005007,4.092132555,5.414836144,6.086848105,5.505413578,5.994721836,5.124192871,5.580538355,4.957581696,5.075680046,5.680025044,6.003856156,5.433199013
ENSG00000005020,,,,4.611639683,,,,,,,5.584984214,
ENSG00000005022,5.049571467,7.123915503,6.188276338,5.876260052,6.512233922,5.929047563,6.130510738,4.884110723,5.812856279,6.341706375,5.528440254,6.051521297
ENSG00000005108,,3.47231266,,,,3.67879293,,2.967371413,,,,
ENSG00000005156,,,4.598007812,,3.739533331,,4.986585503,3.722195246,,4.380433758,3.416735026,
ENSG00000005175,,,4.531106709,,4.476688846,,4.133491307,,3.61985876,4.069896054,4.138567334,
ENSG00000005187,,6.020985738,,,4.059468628,,,,,,,
ENSG00000005194,4.24988936,4.272372753,5.352852135,4.537897214,4.975393038,3.945415098,,,5.16278342,5.165513658,4.685656845,5.130520239
ENSG00000005243,,,4.281286318,,,,,,4.389155049,,,4.916487471
ENSG00000005249,4.668174348,4.814361863,5.268866381,4.589659177,5.578147215,5.963720509,6.624290803,4.580970862,5.560712666,4.999608085,5.607472492,4.604254885
ENSG00000005381,4.727266749,,,5.697953485,5.766606407,4.544757506,3.7810264,5.718872747,4.939565037,,5.597583698,5.583058214
ENSG00000005421,5.699939427,5.429502741,5.527366374,6.202765469,5.224227112,6.284096426,6.159323064,5.851273079,6.095724041,5.772079879,5.263160051,5.961302354
ENSG00000005436,,,4.636318255,,,,2.445142517,,,,,
ENSG00000005448,,,4.79393075,,,4.377825894,4.141132001,,,,,
ENSG00000005844,,4.444175383,,3.422270802,,,4.073224586,,,,5.136285778,3.938239102
ENSG00000005882,3.760435828,5.532028816,,,,5.293311732,4.870677889,,5.04900009,5.334974076,,
ENSG00000005884,5.106733508,5.277152552,6.284952649,4.21294192,5.209249509,5.958788151,5.193370244,5.251453997,4.627530713,4.1078375,4.079936384,5.133687621
ENSG00000005893,5.822015,5.835411179,6.63075182,5.898268299,6.545584871,5.442749845,5.827178611,5.871213578,6.329342271,6.270077763,6.576895496,5.418213176
ENSG00000005961,4.362838852,,3.385633391,4.44904727,3.524811463,,,4.905641938,5.120062272,,6.165223634,4.423934873
ENSG00000006125,5.279281753,5.931194628,6.628518454,5.632354926,6.119924189,5.86117877,6.179273099,5.732323254,6.204384116,5.917883474,6.253355296,5.504658955
