Accessions,uterus,kidney,testis,pancreas,stomach,prostate,ovary,thyroid gland,adrel gland,salivary gland,spleen,esophagus
ENSG00000000003,1.397940009,1.64738297,1.762678564,1.155336037,1.303196057,1.482873584,1.748188027,1.482873584,1.334453751,1.746634199,0.995635195,1.677606953
ENSG00000000419,1.536558443,1.53529412,1.579783597,1.324282455,1.471291711,1.531478917,1.501059262,1.657055853,1.699837726,1.387389826,1.471291711,1.631443769
ENSG00000000457,0.892094603,0.832508913,0.880813592,0.612783857,0.886490725,0.934498451,0.913813852,0.913813852,0.819543936,0.812913357,0.86923172,0.857332496
ENSG00000000971,1.152288344,1.285557309,1.276461804,0.838849091,1.673020907,1.383815366,1.383815366,1.519827994,1.656098202,1.348304863,1.056904851,1.829946696
ENSG00000001036,1.539076099,1.731588765,1.278753601,1.369215857,1.67669361,1.474216264,1.537819095,1.657055853,1.674861141,1.217483944,1.46834733,1.311753861
ENSG00000001084,1.283301229,1.356025857,1.100370545,0.838849091,1.469822016,1.378397901,0.792391689,1.440909082,1.271841607,0.973127854,1.53529412,1.481442629
ENSG00000001561,0.672097858,1.222716471,0.949390007,0.763427994,1.056904851,1.245512668,0.361727836,1.093421685,1.170261715,1.201397124,1.086359831,0.755874856
ENSG00000001630,1.155336037,1.301029996,1.683947131,1.161368002,1.474216264,1.46686762,1.193124598,1.274157849,1.586587305,0.892094603,0.954242509,1.348304863
ENSG00000002330,1.298853076,1.523746467,1.344392274,1.133538908,1.64738297,1.546542663,1.247973266,1.209515015,1.309630167,1.546542663,1.278753601,1.075546961
ENSG00000002549,1.561101384,1.933487288,1.702430536,1.158362492,1.687528961,1.551449998,1.336459734,1.6599162,1.69019608,1.689308859,1.894316063,1.626340367
ENSG00000002586,2.235023159,1.644438589,2.250663919,1.944482672,1.942999593,2.272537777,2.298197867,1.738780558,1.806179974,1.773786445,2.074816441,2.179264464
ENSG00000002726,0.041392685,2.201397124,0.361727836,,1.257678575,0.62324929,,,,,,0
ENSG00000002822,0.986771734,0.84509804,1.378397901,0.51851394,0.913813852,0.924279286,0.892094603,1.008600172,0.73239376,0.857332496,1.301029996,0.986771734
ENSG00000002834,1.589949601,1.636487896,1.324282455,1.298853076,1.87909588,1.344392274,1.617000341,1.36361198,1.399673721,1.413299764,1.788168371,1.475671188
ENSG00000003056,1.798650645,1.769377326,1.758154622,1.346352974,1.765668555,1.717670503,1.678518379,1.922725458,1.781036939,1.704150517,2.02201574,1.702430536
ENSG00000003400,0.568201724,0.698970004,0.176091259,0.278753601,1.053078443,0.342422681,0.079181246,0.740362689,0.361727836,0.414973348,1.26245109,0.919078092
ENSG00000003509,1.10720997,1.025305865,1.818225894,0.544068044,0.903089987,0.949390007,0.886490725,0.892094603,1.187520721,0.740362689,0.986771734,0.86923172
ENSG00000004059,1.920645001,1.891537458,1.8162413,1.869818208,1.996949248,1.928395852,1.785329835,1.836324116,1.78604121,1.807535028,1.88536122,2.12515583
ENSG00000004455,1.741151599,2.111262514,1.651278014,1.44870632,1.794488047,1.718501689,1.684845362,1.970346876,1.768638101,1.665580991,1.681241237,1.851869601
ENSG00000004468,0.301029996,,0.204119983,,0.806179974,1.29666519,,0.146128036,0.556302501,0.414973348,1.411619706,0.176091259
ENSG00000004478,1.667452953,1.780317312,1.894869657,1.482873584,1.595496222,1.768638101,1.667452953,1.776701184,1.612783857,1.673941999,1.294466226,1.769377326
