"","mRNAs","prots","Ratio","RatioLOO","Control","ControlLOO"
"uterus",-0.0741383578104123,1,0.0156510908738689,-0.0530884743460135,-0.259857775946272,-0.50586411116024
"kidney",0.523475128810153,1,0.493827201692153,0.31210929307752,-0.0472147587307782,-0.520789840738065
"testis",0.167119555956432,1,0.35866581325895,0.124356467028544,0.00409217696666637,-0.487538107762124
"pancreas",0.20485099035528,1,0.178382060564875,-0.00811894497922204,-0.0370349509353027,-0.47960580697556
"stomach",0.279208105111505,1,0.426386064423889,0.16019419790328,0.00608762642574229,-0.476409120566927
"prostate",0.202721765305989,1,0.358158554262529,0.114565024401528,0.0392445108074084,-0.49861714903178
"ovary",0.290661413426715,1,0.420474605465584,0.19563547687157,0.0834727337066328,-0.397555169730832
"thyroid.gland",-0.200113998060404,1,0.00182732566110114,-0.0945277066985284,-0.221337557294295,-0.507824767889823
"adrenal.gland",0.355287148569478,1,0.435025667754452,0.225194779015995,0.0354092197195163,-0.491793984338441
"salivary.gland",0.223838629748981,1,0.427792754416272,0.171803349297761,0.0833661445138014,-0.458299292890996
"spleen",0.436344413202673,1,0.477190102528564,0.275696210454924,0.0391323574062766,-0.475471936617629
"esophagus",0.275962074738036,1,0.336175730964646,0.13761498541108,0.0990786751828514,-0.469440547583912
