# Nextprot proteins with GO term GO:0006355 » Regulation of transcription, DNA-templated, mapped in UniProt to Ensembl gene ids on June 3rd, 2015
From	To
P31946	ENSG00000166913
Q04917	ENSG00000128245
P27348	ENSG00000134308
Q9NQ66	ENSG00000182621
Q05823	ENSG00000135828
P62195	ENSG00000087191
O75832	ENSG00000101843
O00233	ENSG00000110801
P52815	ENSG00000262814
O15530	ENSG00000140992
P62263	ENSG00000164587
P23396	ENSG00000149273
Q9H0D6	ENSG00000088930
Q13131	ENSG00000132356
P54646	ENSG00000162409
Q02878	ENSG00000089009
P11021	ENSG00000044574
Q7L2J0	ENSG00000146834
O00400	ENSG00000169359
P50553	ENSG00000139352
Q99929	ENSG00000183734
Q9NQ33	ENSG00000176009
Q6XD76	ENSG00000187855
Q7RTU5	ENSG00000232237
P39687	ENSG00000140350
O14639	ENSG00000099204
Q6H8Q1	ENSG00000163995
O94929	ENSG00000173210
Q8N0Z2	ENSG00000174429
Q8N4X5	ENSG00000169129
O96019	ENSG00000136518
O94805	ENSG00000077080
Q9H9F9	ENSG00000101442
Q9H981	ENSG00000113812
P53999	ENSG00000113387
Q15650	ENSG00000103671
Q8N9N2	ENSG00000138303
Q9H1I8	ENSG00000100325
Q8N3C0	ENSG00000112249
Q6VMQ6	ENSG00000171681
Q5U623	ENSG00000166669
Q9ULW3	ENSG00000146109
Q04771	ENSG00000115170
P36896	ENSG00000135503
P27037	ENSG00000121989
Q13705	ENSG00000114739
Q9H2P0	ENSG00000101126
P46108	ENSG00000167193
P29274	ENSG00000128271
Q8IUX7	ENSG00000106624
Q15847	ENSG00000148671
Q15848	ENSG00000181092
Q6IQ32	ENSG00000101544
P18085	ENSG00000168374
P28907	ENSG00000004468
Q15109	ENSG00000204305
Q15109	ENSG00000206320
Q15109	ENSG00000229058
Q15109	ENSG00000230514
Q15109	ENSG00000231268
Q15109	ENSG00000237405
Q15109	ENSG00000234729
P51825	ENSG00000172493
P51826	ENSG00000144218
Q9UHB7	ENSG00000072364
O00468	ENSG00000188157
Q02040	ENSG00000197976
Q53H80	ENSG00000135334
Q9UM73	ENSG00000171094
P08697	ENSG00000167711
P08697	ENSG00000276838
Q96IU4	ENSG00000114779
P06733	ENSG00000074800
Q12800	ENSG00000135457
Q9NXW9	ENSG00000160993
P37840	ENSG00000145335
Q15699	ENSG00000180318
Q08117	ENSG00000104964
O00213	ENSG00000166313
Q92870	ENSG00000163697
O95704	ENSG00000113108
P05067	ENSG00000142192
P10275	ENSG00000169083
P01019	ENSG00000135744
Q7Z5J8	ENSG00000151687
Q15327	ENSG00000148677
Q9GZV1	ENSG00000165887
Q9BXX3	ENSG00000148513
Q7Z3H0	ENSG00000167612
Q8N9B4	ENSG00000137494
Q8WVL7	ENSG00000168876
Q9H9E1	ENSG00000164331
P12429	ENSG00000138772
P09525	ENSG00000196975
E9PGG2	ENSG00000227059
Q9ULZ3	ENSG00000103490
O15304	ENSG00000184990
Q9NWB6	ENSG00000134884
A6NJG6	ENSG00000186103
Q9P2R6	ENSG00000142599
Q9UH62	ENSG00000102401
